timeframe,timestamp,close,ema20,ema50,ema200,sma20,sma50,sma200,rsi14,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,bb_width,bb_squeeze,atr14,volume_ratio,volume_quality,trend_state,momentum_state,volatility_state,trend_strength_score
15m,2026-05-08T11:30:00+00:00,80148.5,79900.17,,,79842.61,,,62.04,232.0581,,,80401.1,79842.61,79284.12,0.01399,False,123.71,1.826,reliable,neutral,neutral,normal,40.0
15m,2026-05-08T11:45:00+00:00,80219.5,79930.59,,,79878.7,,,64.69,230.0943,,,80436.63,79878.7,79320.77,0.013969,False,123.75,0.4255,reliable,neutral,neutral,normal,40.0
15m,2026-05-08T12:00:00+00:00,80235.1,79959.59,,,79924.68,,,65.27,227.178,,,80436.89,79924.68,79412.46,0.012818,False,126.72,1.3504,reliable,neutral,neutral,normal,40.0
15m,2026-05-08T12:15:00+00:00,80300.0,79992.01,,,79973.17,,,67.62,227.4815,,,80428.91,79973.17,79517.43,0.011397,False,122.31,0.4042,reliable,neutral,neutral,normal,40.0
15m,2026-05-08T12:30:00+00:00,80220.9,80013.81,,,80006.28,,,62.09,218.8168,,,80430.35,80006.28,79582.21,0.010601,False,135.28,3.4094,reliable,neutral,neutral,normal,40.0
15m,2026-05-08T12:45:00+00:00,80002.0,80012.68,,,80023.04,,,49.92,192.0726,,,80415.97,80023.04,79630.11,0.00982,False,144.23,1.1909,reliable,neutral,neutral,normal,20.0
15m,2026-05-08T13:00:00+00:00,79673.0,79980.33,,,80021.36,,,37.9,142.6852,,,80420.22,80021.36,79622.51,0.009969,False,165.4,1.8005,reliable,neutral,neutral,normal,20.0
15m,2026-05-08T13:15:00+00:00,79602.7,79944.37,,,80013.85,,,35.91,96.7574,200.618,-103.8606,80438.8,80013.85,79588.91,0.010622,False,167.64,0.8794,reliable,neutral,bearish,normal,20.0
15m,2026-05-08T13:30:00+00:00,79575.6,79909.25,,,79999.4,,,35.14,57.5096,171.9963,-114.4868,80463.56,79999.4,79535.25,0.011604,False,173.06,2.8534,reliable,neutral,bearish,normal,20.0
15m,2026-05-08T13:45:00+00:00,79626.8,79882.35,,,79987.24,,,37.84,30.1888,143.6348,-113.446,80477.68,79987.24,79496.81,0.012263,False,170.22,3.7868,reliable,neutral,bearish,normal,20.0
15m,2026-05-08T14:00:00+00:00,79911.8,79885.15,,,79983.59,,,50.25,31.1747,121.1428,-89.9681,80475.18,79983.59,79492.0,0.012292,False,181.2,1.6936,reliable,neutral,weakening,normal,40.0
15m,2026-05-08T14:15:00+00:00,80074.6,79903.19,,,79992.32,,,55.69,44.5787,105.83,-61.2513,80483.86,79992.32,79500.78,0.01229,False,203.72,1.9537,reliable,neutral,weakening,normal,40.0
15m,2026-05-08T14:30:00+00:00,80200.0,79931.46,,,80009.8,,,59.37,64.5758,97.5792,-33.0033,80504.94,80009.8,79514.67,0.012377,False,220.38,1.2762,reliable,neutral,weakening,normal,40.0
15m,2026-05-08T14:45:00+00:00,80119.3,79949.35,,,80023.26,,,56.14,73.0696,92.6772,-19.6077,80514.75,80023.26,79531.78,0.012283,False,218.39,0.8533,reliable,neutral,weakening,normal,40.0
15m,2026-05-08T15:00:00+00:00,79857.1,79940.57,,,80025.62,,,47.15,57.9753,85.7369,-27.7616,80513.23,80025.62,79538.02,0.012186,False,226.74,1.0696,reliable,neutral,bearish,normal,20.0
15m,2026-05-08T15:15:00+00:00,79667.2,79914.53,,,80014.52,,,41.91,30.3399,74.6575,-44.3176,80524.79,80014.52,79504.25,0.012754,False,229.79,0.6864,reliable,neutral,bearish,normal,20.0
15m,2026-05-08T15:30:00+00:00,79960.5,79918.91,,,80005.21,,,50.97,31.7396,66.0739,-34.3343,80512.11,80005.21,79498.31,0.012672,False,241.45,0.9983,reliable,neutral,weakening,normal,40.0
15m,2026-05-08T15:45:00+00:00,80114.9,79937.57,,,80000.74,,,54.95,44.7913,61.8174,-17.026,80501.79,80000.74,79499.69,0.012526,False,240.92,0.7072,reliable,neutral,weakening,normal,40.0
15m,2026-05-08T16:00:00+00:00,79956.9,79939.41,,,79987.83,,,50.44,41.9026,57.8344,-15.9318,80478.84,79987.83,79496.83,0.012277,False,238.72,0.6862,reliable,neutral,weakening,normal,40.0
15m,2026-05-08T16:15:00+00:00,79933.1,79938.81,,,79969.98,,,49.77,37.2633,53.7202,-16.4569,80440.2,79969.98,79499.75,0.01176,False,229.17,0.2977,reliable,neutral,bearish,normal,20.0
15m,2026-05-08T16:30:00+00:00,79790.2,79924.66,,,79952.06,,,45.87,21.8044,47.3371,-25.5326,80420.95,79952.06,79483.17,0.011729,False,226.96,2.1639,reliable,neutral,bearish,normal,20.0
15m,2026-05-08T16:45:00+00:00,79781.3,79911.01,,,79930.15,,,45.63,8.7343,39.6165,-30.8822,80387.22,79930.15,79473.08,0.011437,False,218.54,0.7482,reliable,neutral,bearish,normal,20.0
15m,2026-05-08T17:00:00+00:00,79829.3,79903.22,,,79909.86,,,47.24,2.2237,32.138,-29.9142,80345.46,79909.86,79474.26,0.010902,False,217.78,1.3161,reliable,neutral,bearish,normal,20.0
15m,2026-05-08T17:15:00+00:00,79984.8,79910.99,79855.28,,79894.1,79855.28,,52.16,9.502,27.6108,-18.1087,80291.39,79894.1,79496.81,0.009945,True,216.08,2.0885,reliable,neutral,weakening,squeeze,60.0
15m,2026-05-08T17:30:00+00:00,80099.9,79928.99,79864.87,,79888.05,79864.3,,55.47,24.2779,26.9442,-2.6663,80267.68,79888.05,79508.42,0.009504,True,218.06,1.7157,reliable,neutral,weakening,squeeze,60.0
15m,2026-05-08T17:45:00+00:00,80049.6,79940.47,79872.12,,79890.43,79872.82,,53.72,31.5652,27.8684,3.6968,80273.65,79890.43,79507.21,0.009594,True,219.57,0.4511,reliable,neutral,bullish,squeeze,60.0
15m,2026-05-08T18:00:00+00:00,80193.2,79964.54,79884.71,,79916.44,79882.29,,57.81,48.3702,31.9688,16.4015,80308.04,79916.44,79524.84,0.0098,True,216.85,0.5446,reliable,neutral,bullish,squeeze,60.0
15m,2026-05-08T18:15:00+00:00,80223.2,79989.18,79897.98,,79947.47,79894.53,,58.63,63.3785,38.2507,25.1278,80332.68,79947.47,79562.25,0.009637,True,209.27,6.6586,reliable,neutral,bullish,squeeze,60.0
15m,2026-05-08T18:30:00+00:00,80153.8,80004.85,79908.02,,79976.38,79906.0,,55.91,68.8786,44.3763,24.5023,80329.53,79976.38,79623.22,0.008832,True,204.6,1.6704,reliable,neutral,bullish,squeeze,60.0
15m,2026-05-08T18:45:00+00:00,80072.6,80011.31,79914.47,,79998.67,79916.51,,52.83,65.9254,48.6861,17.2393,80313.07,79998.67,79684.26,0.00786,True,202.66,0.2192,reliable,neutral,bullish,squeeze,60.0
15m,2026-05-08T19:00:00+00:00,80043.3,80014.35,79919.52,,80005.24,79926.49,,51.72,60.5231,51.0535,9.4696,80317.49,80005.24,79692.99,0.007806,True,197.92,0.1576,reliable,neutral,bullish,squeeze,60.0
15m,2026-05-08T19:15:00+00:00,80007.1,80013.66,79922.96,,80001.87,79936.68,,50.32,52.713,51.3854,1.3276,80312.41,80001.87,79691.32,0.007763,True,192.66,0.1554,reliable,neutral,bullish,squeeze,40.0
15m,2026-05-08T19:30:00+00:00,80080.9,80020.07,79929.15,,79995.91,79951.98,,53.11,51.8804,51.4844,0.396,80294.81,79995.91,79697.01,0.007473,True,185.89,0.1994,reliable,neutral,bullish,squeeze,60.0
15m,2026-05-08T19:45:00+00:00,80156.6,80033.07,79938.07,,79997.78,79968.51,,55.86,56.6756,52.5227,4.153,80300.36,79997.78,79695.19,0.007565,True,179.96,1.3945,reliable,neutral,bullish,squeeze,60.0
15m,2026-05-08T20:00:00+00:00,80224.0,80051.25,79949.28,,80016.12,79981.82,,58.2,65.1633,55.0508,10.1126,80327.16,80016.12,79705.08,0.007774,True,173.92,0.5487,reliable,neutral,bullish,squeeze,60.0
15m,2026-05-08T20:15:00+00:00,80251.0,80070.28,79961.12,,80045.31,79993.5,,59.14,73.2245,58.6855,14.539,80326.63,80045.31,79763.99,0.007029,True,166.13,4.9026,reliable,neutral,bullish,squeeze,60.0
15m,2026-05-08T20:30:00+00:00,80242.9,80086.72,79972.17,,80059.43,80004.23,,58.71,78.0596,62.5604,15.4993,80350.99,80059.43,79767.87,0.007284,True,162.5,0.7744,reliable,neutral,bullish,squeeze,60.0
15m,2026-05-08T20:45:00+00:00,80124.4,80090.31,79978.14,,80059.91,80011.66,,52.74,71.5052,64.3493,7.1559,80351.88,80059.91,79767.93,0.007294,True,165.19,0.6002,reliable,neutral,bullish,squeeze,60.0
15m,2026-05-08T21:00:00+00:00,80131.3,80094.21,79984.14,,80068.62,80016.99,,53.04,66.1056,64.7006,1.405,80358.05,80068.62,79779.2,0.007229,True,158.18,0.2876,reliable,neutral,bullish,squeeze,60.0
15m,2026-05-08T21:15:00+00:00,80197.9,80104.09,79992.53,,80081.87,80023.55,,55.94,66.4346,65.0474,1.3872,80369.41,80081.87,79794.32,0.007181,True,153.38,0.4942,reliable,neutral,bullish,squeeze,60.0
15m,2026-05-08T21:30:00+00:00,80210.3,80114.2,80001.07,,80102.87,80028.06,,56.48,66.9244,65.4228,1.5016,80360.53,80102.87,79845.21,0.006433,True,147.83,0.1845,reliable,neutral,bullish,squeeze,60.0
15m,2026-05-08T21:45:00+00:00,80236.5,80125.85,80010.3,,80125.63,80034.79,,57.66,68.6356,66.0653,2.5702,80340.56,80125.63,79910.7,0.005365,True,142.28,0.1088,reliable,neutral,bullish,squeeze,60.0
15m,2026-05-08T22:00:00+00:00,80363.5,80148.48,80024.15,,80152.34,80045.05,,62.91,79.3251,68.7173,10.6078,80343.7,80152.34,79960.98,0.004775,True,141.19,0.226,reliable,neutral,bullish,squeeze,60.0
15m,2026-05-08T22:15:00+00:00,80347.2,80167.41,80036.82,,80170.46,80055.0,,61.85,85.4958,72.073,13.4228,80363.64,80170.46,79977.28,0.004819,True,138.84,0.704,reliable,neutral,bullish,squeeze,60.0
15m,2026-05-08T22:30:00+00:00,80312.3,80181.21,80047.62,,80181.08,80065.04,,59.54,86.572,74.9728,11.5992,80381.16,80181.08,79981.0,0.004991,True,133.32,0.1836,reliable,neutral,bullish,squeeze,60.0
15m,2026-05-08T22:45:00+00:00,80278.2,80190.44,80056.66,,80192.51,80072.82,,57.28,83.7084,76.7199,6.9885,80387.0,80192.51,79998.02,0.004851,True,128.79,0.3319,reliable,neutral,bullish,squeeze,60.0
15m,2026-05-08T23:00:00+00:00,80218.6,80193.13,80063.01,,80193.78,80074.26,,53.47,75.7565,76.5272,-0.7707,80388.62,80193.78,79998.94,0.004859,True,124.71,0.7444,reliable,neutral,weakening,squeeze,60.0
