date,btc_market_cap,btc_dominance,btc_volume,btc_close,usdt_market_cap,altcoin_season_index
2024-05-10,1240910691253.6274,50.69463958869319,25837724247.550426,63148.599943097026,596.3634049227411,50
2024-05-11,1199393711200.297,50.71,23987518755.480534,60888.21674957157,585.63209486269,50
2024-05-12,1197102943502.2341,50.57942688852466,12120618802.065384,60776.972079172134,591.5322705643867,50
2024-05-13,1211277523448.5786,50.86,13045696108.912676,61507.054004121346,594.0478928219344,50
2024-05-14,1238994152713.125,51.32361624020224,27740460083.601814,62878.783300729294,591.4430302446636,50
2024-05-15,1212998352772.157,51.43,21581895152.31416,61569.1130057734,566.6540797108654,50
2024-05-16,1307048849176.4167,52.00090532458936,38101793065.15294,66220.51831432826,582.2776668543061,50
2024-05-17,1286278919684.0837,52.01,29114585833.349678,65260.879803346186,569.1833921144822,25
2024-05-18,1319238394090.13,51.704580871692116,25397793918.993534,67053.12326509564,581.3528348007209,50
2024-05-19,1319928522881.6436,51.67,13025487675.845129,66912.61861403697,579.6733289621226,25
2024-05-20,1304727108597.6987,51.82248634634426,9072734600.009218,66252.71259591613,574.2318739013161,50
2024-05-21,1406288649446.611,51.11,35923476641.4359,71430.29700215145,600.7777660119472,50
2024-05-22,1382275470797.567,50.39044221688681,41105056578.01701,70189.8358177002,618.8192565287056,75
2024-05-23,1362228629448.754,50.26,31059440495.91766,69181.20085677762,614.7193778227489,75
2024-05-24,1336347300306.381,49.874532172172295,39235702119.25446,67906.46534276106,598.7991409330791,75
2024-05-25,1350764328536.3708,50.36,28127411967.182774,68539.91646552991,600.0237430352892,75
2024-05-26,1363997851294.8164,50.32826151008507,15929396750.116022,69268.44558973772,602.185289762264,75
2024-05-27,1349351520129.172,50.01,11243743771.147913,68508.83110875699,600.0099567532791,75
2024-05-28,1366931305389.0393,49.86592237501261,18983806932.464344,69367.23871755725,603.7379863160476,75
2024-05-29,1347542673428.3018,49.78,31278122196.184998,68316.63588049631,601.027199842003,50
2024-05-30,1331734029835.3335,49.90272972749675,24320692137.62038,67577.26558995963,595.1906949308271,50
2024-05-31,1346147846430.124,50.27,25344376897.716885,68372.49288434093,595.0819435647909,50
2024-06-01,1331606411822.8157,50.01878441371272,19685305476.459476,67474.95483698409,593.7073159967216,50
2024-06-02,1333649555935.3525,49.85,10724053324.55672,67704.32641811523,600.9239789843393,50
2024-06-03,1335930570689.7126,50.08814672214646,16137350587.750422,67740.01690222476,602.9471398632894,50
2024-06-04,1355484820107.0864,50.32,29862293749.910686,68808.29368590549,626.564554887942,50
2024-06-05,1390853496950.4385,50.39076513622904,31561053725.144592,70600.01116676089,686.5106675772284,50
2024-06-06,1400297735227.1965,50.23,32560403314.989147,71184.59943059199,699.924112025121,50
2024-06-07,1394881646977.521,50.39141177529667,23612879689.560955,70759.58819301432,710.0434830589062,50
2024-06-08,1366366925856.506,50.85,18597495569.911568,69325.36238847222,683.3383279797964,50
2024-06-09,1366065699664.3162,51.13241085472193,10688301508.476225,69315.1041233966,682.7827497468624,25
