date,sp500,dxy,vix,gold
2024-05-08,,,13.0,
2024-05-09,5214.080078125,105.2300033569336,12.6899995803833,2332.10009765625
2024-05-10,5222.68017578125,105.30999755859375,12.550000190734863,2367.300048828125
2024-05-13,5221.419921875,105.22000122070312,13.600000381469727,2336.10009765625
2024-05-14,5246.68017578125,105.01000213623047,13.420000076293945,2353.39990234375
2024-05-15,5308.14990234375,104.3499984741211,12.449999809265137,2388.699951171875
2024-05-16,5297.10009765625,104.45999908447266,12.420000076293945,2380.0
2024-05-17,5303.27001953125,104.44999694824219,11.989999771118164,2412.199951171875
2024-05-20,5308.1298828125,104.56999969482422,12.149999618530273,2433.89990234375
2024-05-21,5321.41015625,104.66000366210938,11.859999656677246,2421.699951171875
2024-05-22,5307.009765625,104.94000244140625,12.289999961853027,2389.199951171875
2024-05-23,5267.83984375,105.11000061035156,12.770000457763672,2335.0
2024-05-24,5304.72021484375,104.72000122070312,11.930000305175781,2332.5
2024-05-28,5306.0400390625,104.61000061035156,12.920000076293945,2355.199951171875
2024-05-29,5266.9501953125,105.0999984741211,14.279999732971191,2340.300048828125
2024-05-30,5235.47998046875,104.72000122070312,14.470000267028809,2342.89990234375
2024-05-31,5277.509765625,104.66999816894531,12.920000076293945,2322.89990234375
2024-06-03,5283.39990234375,104.13999938964844,13.109999656677246,2346.60009765625
2024-06-04,5291.33984375,104.11000061035156,13.15999984741211,2325.5
2024-06-05,5354.02978515625,104.2699966430664,12.630000114440918,2354.10009765625
2024-06-06,5352.9599609375,104.0999984741211,12.579999923706055,2370.300048828125
2024-06-07,5346.990234375,104.88999938964844,12.220000267028809,2305.199951171875
2024-06-10,5360.7900390625,105.1500015258789,12.739999771118164,2307.699951171875
2024-06-11,5375.31982421875,105.2300033569336,12.850000381469727,2307.5
2024-06-12,5421.02978515625,104.6500015258789,12.039999961853027,2336.0
2024-06-13,5433.740234375,105.19999694824219,11.9399995803833,2300.199951171875
2024-06-14,5431.60009765625,105.55000305175781,12.65999984741211,2331.39990234375
2024-06-17,5473.22998046875,105.31999969482422,12.75,2312.39990234375
2024-06-18,5487.02978515625,105.26000213623047,12.300000190734863,2330.39990234375
2024-06-20,5473.169921875,105.58999633789062,13.279999732971191,2353.800048828125
2024-06-21,5464.6201171875,105.80000305175781,13.199999809265137,2316.39990234375
2024-06-24,5447.8701171875,105.47000122070312,13.329999923706055,2330.0
2024-06-25,5469.2998046875,105.61000061035156,12.84000015258789,2316.60009765625
2024-06-26,5477.89990234375,106.05000305175781,12.550000190734863,2299.199951171875
2024-06-27,5482.8701171875,105.91000366210938,12.239999771118164,2324.5
2024-06-28,5460.47998046875,105.87000274658203,12.4399995803833,2327.699951171875
2024-07-01,5475.08984375,105.9000015258789,12.220000267028809,2327.60009765625
2024-07-02,5509.009765625,105.72000122070312,12.029999732971191,2323.0
2024-07-03,5537.02001953125,105.4000015258789,12.09000015258789,2359.800048828125
2024-07-05,5567.18994140625,104.87999725341797,12.479999542236328,2388.5
2024-07-08,5572.85009765625,105.01000213623047,12.369999885559082,2355.199951171875
2024-07-09,5576.97998046875,105.12000274658203,12.510000228881836,2360.10009765625
2024-07-10,5633.91015625,105.05000305175781,12.850000381469727,2372.199951171875
2024-07-11,5584.5400390625,104.44000244140625,12.920000076293945,2415.0
2024-07-12,5615.35009765625,104.08999633789062,12.460000038146973,2414.0
2024-07-15,5631.22021484375,104.19000244140625,13.119999885559082,2422.89990234375
2024-07-16,5667.2001953125,104.2699966430664,13.1899995803833,2462.39990234375
2024-07-17,5588.27001953125,103.75,14.479999542236328,2454.800048828125
2024-07-18,5544.58984375,104.16999816894531,15.930000305175781,2451.800048828125
2024-07-19,5505.0,104.4000015258789,16.520000457763672,2395.5
2024-07-22,5564.41015625,104.30999755859375,14.90999984741211,2392.0
2024-07-23,5555.740234375,104.44999694824219,14.720000267028809,2404.60009765625
2024-07-24,5427.1298828125,104.38999938964844,18.040000915527344,2413.300048828125
2024-07-25,5399.22021484375,104.36000061035156,18.459999084472656,2351.89990234375
2024-07-26,5459.10009765625,104.31999969482422,16.389999389648438,2380.0
2024-07-29,5463.5400390625,104.55999755859375,16.600000381469727,2377.300048828125
2024-07-30,5436.43994140625,104.55000305175781,17.690000534057617,2405.0
2024-07-31,5522.2998046875,104.0999984741211,16.360000610351562,2426.5
2024-08-01,5446.68017578125,104.41999816894531,18.59000015258789,2435.0
2024-08-02,5346.56005859375,103.20999908447266,23.389999389648438,2425.699951171875
2024-08-05,5186.330078125,102.69000244140625,38.56999969482422,2401.699951171875
2024-08-06,5240.02978515625,102.97000122070312,27.709999084472656,2389.10009765625
2024-08-07,5199.5,103.19999694824219,27.850000381469727,2390.5
2024-08-08,5319.31005859375,103.20999908447266,23.790000915527344,2422.199951171875
2024-08-09,5344.16015625,103.13999938964844,20.3700008392334,2432.10009765625
2024-08-12,5344.39013671875,103.13999938964844,20.709999084472656,2462.39990234375
2024-08-13,5434.43017578125,102.55999755859375,18.1200008392334,2466.699951171875
2024-08-14,5455.2099609375,102.56999969482422,16.190000534057617,2439.39990234375
2024-08-15,5543.22021484375,102.9800033569336,15.229999542236328,2453.10009765625
2024-08-16,5554.25,102.45999908447266,14.800000190734863,2498.60009765625
2024-08-19,5608.25,101.88999938964844,14.649999618530273,2501.800048828125
2024-08-20,5597.1201171875,101.44000244140625,15.880000114440918,2511.300048828125
2024-08-21,5620.85009765625,101.04000091552734,16.270000457763672,2508.39990234375
2024-08-22,5570.64013671875,101.51000213623047,17.549999237060547,2478.89990234375
2024-08-23,5634.60986328125,100.72000122070312,15.859999656677246,2508.39990234375
2024-08-26,5616.83984375,100.8499984741211,16.149999618530273,2517.699951171875
2024-08-27,5625.7998046875,100.55000305175781,15.430000305175781,2516.0
2024-08-28,5592.18017578125,101.08999633789062,17.110000610351562,2501.0
2024-08-29,5591.9599609375,101.33999633789062,15.649999618530273,2525.699951171875
2024-08-30,5648.39990234375,101.69999694824219,15.0,2493.800048828125
2024-09-03,5528.93017578125,101.83000183105469,20.719999313354492,2489.89990234375
2024-09-04,5520.06982421875,101.36000061035156,21.31999969482422,2493.39990234375
2024-09-05,5503.41015625,101.11000061035156,19.899999618530273,2511.39990234375
2024-09-06,5408.419921875,101.18000030517578,22.3799991607666,2493.5
2024-09-09,5471.0498046875,101.55000305175781,19.450000762939453,2501.800048828125
2024-09-10,5495.52001953125,101.62999725341797,19.079999923706055,2512.300048828125
2024-09-11,5554.1298828125,101.68000030517578,17.690000534057617,2512.10009765625
2024-09-12,5595.759765625,101.37000274658203,17.06999969482422,2551.199951171875
2024-09-13,5626.02001953125,101.11000061035156,16.559999465942383,2581.300048828125
2024-09-16,5633.08984375,100.76000213623047,17.139999389648438,2580.39990234375
2024-09-17,5634.580078125,100.88999938964844,17.610000610351562,2564.300048828125
2024-09-18,5618.259765625,100.5999984741211,18.229999542236328,2570.699951171875
2024-09-19,5713.64013671875,100.61000061035156,16.329999923706055,2588.0
2024-09-20,5702.5498046875,100.72000122070312,16.149999618530273,2619.89990234375
2024-09-23,5718.56982421875,100.91999816894531,15.890000343322754,2626.5
2024-09-24,5732.93017578125,100.37000274658203,15.390000343322754,2651.199951171875
2024-09-25,5722.259765625,100.91999816894531,15.40999984741211,2659.199951171875
2024-09-26,5745.3701171875,100.55999755859375,15.369999885559082,2669.89990234375
2024-09-27,5738.169921875,100.41999816894531,16.959999084472656,2644.300048828125
2024-09-30,5762.47998046875,100.77999877929688,16.729999542236328,2636.10009765625
2024-10-01,5708.75,101.19000244140625,19.260000228881836,2667.300048828125
2024-10-02,5709.5400390625,101.68000030517578,18.899999618530273,2647.10009765625
2024-10-03,5699.93994140625,101.98999786376953,20.489999771118164,2657.10009765625
