timestamp,open,high,low,close,volume,source
2026-05-08 05:00:00,79648.8,79651.9,79601.0,79648.8,3.52027505,kraken
2026-05-08 05:15:00,79648.7,79653.7,79598.9,79623.7,1.18367147,kraken
2026-05-08 05:30:00,79623.7,79720.0,79623.7,79719.9,3.17989948,kraken
2026-05-08 05:45:00,79719.9,79743.9,79611.2,79611.2,11.22586573,kraken
2026-05-08 06:00:00,79605.2,79614.3,79460.7,79580.4,4.31073588,kraken
2026-05-08 06:15:00,79580.4,79623.8,79546.9,79547.0,1.6018912,kraken
2026-05-08 06:30:00,79547.0,79573.2,79410.0,79544.3,12.97688545,kraken
2026-05-08 06:45:00,79544.3,79544.3,79471.6,79497.7,3.89508488,kraken
2026-05-08 07:00:00,79497.7,79497.7,79285.6,79315.6,11.23902403,kraken
2026-05-08 07:15:00,79315.6,79366.3,79233.8,79330.1,3.11125495,kraken
2026-05-08 07:30:00,79330.2,79558.8,79330.2,79558.7,3.5792155,kraken
2026-05-08 07:45:00,79558.8,79698.8,79558.8,79666.8,8.43295132,kraken
2026-05-08 08:00:00,79666.1,79713.6,79652.1,79706.5,2.51917729,kraken
2026-05-08 08:15:00,79706.4,79752.9,79700.0,79752.9,5.19936804,kraken
2026-05-08 08:30:00,79752.9,79864.6,79740.0,79864.6,3.73985482,kraken
2026-05-08 08:45:00,79864.5,79952.4,79864.5,79870.0,5.8134186,kraken
2026-05-08 09:00:00,79870.0,79985.0,79853.9,79984.9,3.6346871,kraken
2026-05-08 09:15:00,79985.0,80036.3,79900.0,79900.0,13.75650869,kraken
2026-05-08 09:30:00,79902.6,79929.3,79850.0,79850.3,3.37283305,kraken
2026-05-08 09:45:00,79850.3,79858.5,79779.9,79850.1,3.28780581,kraken
2026-05-08 10:00:00,79850.2,80009.0,79777.0,79809.9,3.59864194,kraken
2026-05-08 10:15:00,79809.8,79889.3,79806.8,79889.3,0.7537367,kraken
2026-05-08 10:30:00,79889.3,80151.5,79889.2,80146.7,4.97369503,kraken
2026-05-08 10:45:00,80146.7,80238.6,80136.6,80204.3,14.90271192,kraken
2026-05-08 11:00:00,80204.5,80300.0,80204.3,80215.0,5.88185806,kraken
2026-05-08 11:15:00,80215.0,80290.4,80200.0,80290.3,6.35093494,kraken
2026-05-08 11:30:00,80284.7,80296.8,80148.4,80148.5,10.85538765,kraken
2026-05-08 11:45:00,80148.4,80268.4,80144.2,80219.5,2.50015629,kraken
2026-05-08 12:00:00,80219.5,80300.0,80134.6,80235.1,7.69471083,kraken
2026-05-08 12:15:00,80240.2,80300.0,80240.2,80300.0,2.2866615,kraken
2026-05-08 12:30:00,80300.0,80465.8,80161.9,80220.9,22.51369929,kraken
2026-05-08 12:45:00,80220.8,80220.9,79960.3,80002.0,7.82827727,kraken
2026-05-08 13:00:00,80002.0,80089.4,79648.8,79673.0,12.75680873,kraken
2026-05-08 13:15:00,79673.0,79796.8,79600.0,79602.7,6.27827576,kraken
2026-05-08 13:30:00,79602.8,79804.4,79560.9,79575.6,23.13791257,kraken
2026-05-08 13:45:00,79575.6,79663.2,79529.9,79626.8,36.5206056,kraken
2026-05-08 14:00:00,79624.8,79948.8,79624.8,79911.8,17.50790079,kraken
2026-05-08 14:15:00,79911.8,80394.6,79898.2,80074.6,20.89453163,kraken
2026-05-08 14:30:00,80074.5,80238.2,79801.2,80200.0,14.34861555,kraken
2026-05-08 14:45:00,80200.0,80276.6,80084.1,80119.3,9.87493824,kraken
2026-05-08 15:00:00,80119.4,80182.9,79847.6,79857.1,12.87405028,kraken
2026-05-08 15:15:00,79857.0,79893.8,79624.4,79667.2,8.52904363,kraken
2026-05-08 15:30:00,79671.7,80011.0,79617.9,79960.5,12.79424863,kraken
2026-05-08 15:45:00,79960.4,80167.5,79933.5,80114.9,8.84966153,kraken
