timestamp,open,high,low,close,volume
2026-05-08 08:00:00,79648.8,79743.9,79233.8,79706.5,70.77593223
2026-05-08 12:00:00,79706.4,80300.0,79700.0,80235.1,96.31630947000001
2026-05-08 16:00:00,80240.2,80465.8,79529.9,79956.9,225.67886396
2026-05-08 20:00:00,79956.8,80267.0,79730.0,80224.0,394.16067583
2026-05-09 00:00:00,80218.9,80400.0,80075.7,80141.0,344.46710153000004
2026-05-09 04:00:00,80141.0,80653.8,80124.0,80565.9,88.33710477
2026-05-09 08:00:00,80572.0,80572.0,80132.4,80383.7,83.23162197
2026-05-09 12:00:00,80383.8,80423.3,80175.5,80301.4,183.05743282
2026-05-09 16:00:00,80299.3,80591.4,80243.1,80560.7,144.77662896
2026-05-09 20:00:00,80560.8,81050.0,80560.8,80843.0,172.15268623
2026-05-10 00:00:00,80843.0,80878.7,80612.1,80688.5,96.23370247
2026-05-10 04:00:00,80688.6,80844.8,80561.3,80746.5,78.39961025
2026-05-10 08:00:00,80746.4,80819.1,80634.8,80757.7,38.10802547
2026-05-10 12:00:00,80757.7,80954.1,80666.9,80819.3,188.23046082
2026-05-10 16:00:00,80819.3,81480.6,80813.4,81474.1,407.89611754
